# Arguments: kr_a=0.0625, kd_a=0.25, rep=100, it=100, relocation=0.0625, division=0.5, rows=20, cols=5, status=None, file_ID=15, delta_t=None
Timepoint,Rep_0,Rep_1,Rep_2,Rep_3,Rep_4,Rep_5,Rep_6,Rep_7,Rep_8,Rep_9,Rep_10,Rep_11,Rep_12,Rep_13,Rep_14,Rep_15,Rep_16,Rep_17,Rep_18,Rep_19,Rep_20,Rep_21,Rep_22,Rep_23,Rep_24,Rep_25,Rep_26,Rep_27,Rep_28,Rep_29,Rep_30,Rep_31,Rep_32,Rep_33,Rep_34,Rep_35,Rep_36,Rep_37,Rep_38,Rep_39,Rep_40,Rep_41,Rep_42,Rep_43,Rep_44,Rep_45,Rep_46,Rep_47,Rep_48,Rep_49,Rep_50,Rep_51,Rep_52,Rep_53,Rep_54,Rep_55,Rep_56,Rep_57,Rep_58,Rep_59,Rep_60,Rep_61,Rep_62,Rep_63,Rep_64,Rep_65,Rep_66,Rep_67,Rep_68,Rep_69,Rep_70,Rep_71,Rep_72,Rep_73,Rep_74,Rep_75,Rep_76,Rep_77,Rep_78,Rep_79,Rep_80,Rep_81,Rep_82,Rep_83,Rep_84,Rep_85,Rep_86,Rep_87,Rep_88,Rep_89,Rep_90,Rep_91,Rep_92,Rep_93,Rep_94,Rep_95,Rep_96,Rep_97,Rep_98,Rep_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.010752688172043012,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.010869565217391304,0.0,0.0,0.011363636363636364,0.0,0.0,0.010869565217391304,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.011363636363636364,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.011627906976744186,0.011494252873563218,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.011764705882352941,0.0,0.022727272727272728,0.034482758620689655,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.011111111111111112,0.01098901098901099,0.011363636363636364,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.012195121951219513,0.011627906976744186,0.0,0.0,0.0125,0.011111111111111112,0.011904761904761904,0.011363636363636364,0.0,0.0,0.010869565217391304,0.011494252873563218,0.0,0.011363636363636364,0.0,0.0,0.011363636363636364,0.011494252873563218,0.0,0.0,0.033707865168539325,0.0,0.024096385542168676,0.0,0.0,0.0,0.023529411764705882,0.022727272727272728,0.0,0.011111111111111112,0.0,0.0,0.011363636363636364,0.022988505747126436,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.0
3,0.03614457831325301,0.012987012987012988,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.033707865168539325,0.023809523809523808,0.0,0.023529411764705882,0.011627906976744186,0.011904761904761904,0.012658227848101266,0.02631578947368421,0.024096385542168676,0.0,0.012345679012345678,0.012195121951219513,0.0125,0.012195121951219513,0.012048192771084338,0.012658227848101266,0.0,0.023529411764705882,0.04054054054054054,0.0,0.023529411764705882,0.05952380952380952,0.0,0.011764705882352941,0.012195121951219513,0.047058823529411764,0.012987012987012988,0.0,0.024390243902439025,0.011627906976744186,0.011764705882352941,0.0,0.0,0.03614457831325301,0.011904761904761904,0.0,0.0,0.012987012987012988,0.024390243902439025,0.0,0.012048192771084338,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.01282051282051282,0.012195121951219513,0.022988505747126436,0.012195121951219513,0.04,0.024390243902439025,0.012658227848101266,0.022988505747126436,0.013157894736842105,0.012345679012345678,0.022988505747126436,0.011904761904761904,0.0,0.024096385542168676,0.0,0.0,0.012345679012345678,0.012048192771084338,0.0,0.0,0.03488372093023256,0.011494252873563218,0.0375,0.0,0.0,0.011904761904761904,0.04819277108433735,0.03614457831325301,0.0,0.011627906976744186,0.0,0.0,0.011904761904761904,0.023529411764705882,0.0,0.0,0.0,0.0,0.023529411764705882,0.0,0.0,0.0,0.0,0.0
4,0.05128205128205128,0.04,0.024390243902439025,0.03614457831325301,0.012345679012345678,0.011363636363636364,0.012987012987012988,0.0,0.03488372093023256,0.036585365853658534,0.0,0.025,0.012195121951219513,0.02531645569620253,0.02631578947368421,0.05333333333333334,0.039473684210526314,0.012658227848101266,0.013157894736842105,0.0379746835443038,0.0273972602739726,0.025,0.012658227848101266,0.02631578947368421,0.0,0.025,0.043478260869565216,0.012345679012345678,0.025,0.07228915662650602,0.0,0.0125,0.0125,0.04938271604938271,0.0136986301369863,0.02631578947368421,0.038461538461538464,0.01282051282051282,0.012658227848101266,0.012048192771084338,0.024390243902439025,0.0375,0.024390243902439025,0.013333333333333334,0.012345679012345678,0.02666666666666667,0.025974025974025976,0.0,0.025,0.014084507042253521,0.012048192771084338,0.022988505747126436,0.011764705882352941,0.0,0.02564102564102564,0.0547945205479452,0.014084507042253521,0.012658227848101266,0.024390243902439025,0.02631578947368421,0.041666666666666664,0.0379746835443038,0.04,0.036585365853658534,0.0136986301369863,0.02631578947368421,0.0375,0.05194805194805195,0.025974025974025976,0.0379746835443038,0.0,0.012987012987012988,0.0125,0.037037037037037035,0.011904761904761904,0.024691358024691357,0.047619047619047616,0.012345679012345678,0.06578947368421052,0.022727272727272728,0.0625,0.037037037037037035,0.05063291139240506,0.0375,0.023809523809523808,0.024691358024691357,0.0,0.012987012987012988,0.012195121951219513,0.02531645569620253,0.0,0.0,0.0136986301369863,0.02531645569620253,0.025,0.024390243902439025,0.0,0.02702702702702703,0.012345679012345678,0.037037037037037035
5,0.05333333333333334,0.05333333333333334,0.02564102564102564,0.06329113924050633,0.01282051282051282,0.03488372093023256,0.0273972602739726,0.02666666666666667,0.04878048780487805,0.04938271604938271,0.0,0.025974025974025976,0.024390243902439025,0.041666666666666664,0.0410958904109589,0.0547945205479452,0.0547945205479452,0.04054054054054054,0.02631578947368421,0.05333333333333334,0.04225352112676056,0.05194805194805195,0.02702702702702703,0.04225352112676056,0.013333333333333334,0.039473684210526314,0.043478260869565216,0.02564102564102564,0.06329113924050633,0.0875,0.0,0.02631578947368421,0.013513513513513514,0.05063291139240506,0.041666666666666664,0.028169014084507043,0.05405405405405406,0.05333333333333334,0.02631578947368421,0.0375,0.05128205128205128,0.0641025641025641,0.025974025974025976,0.02666666666666667,0.025974025974025976,0.0273972602739726,0.0273972602739726,0.04411764705882353,0.025974025974025976,0.06153846153846154,0.02531645569620253,0.024691358024691357,0.024390243902439025,0.012987012987012988,0.038461538461538464,0.09859154929577464,0.014705882352941176,0.01282051282051282,0.05128205128205128,0.05333333333333334,0.06060606060606061,0.06493506493506493,0.04054054054054054,0.0379746835443038,0.0273972602739726,0.028169014084507043,0.06493506493506493,0.07894736842105263,0.025974025974025976,0.06493506493506493,0.012658227848101266,0.0273972602739726,0.01282051282051282,0.06493506493506493,0.05,0.05194805194805195,0.06329113924050633,0.025974025974025976,0.06756756756756757,0.047619047619047616,0.07792207792207792,0.05333333333333334,0.1095890410958904,0.05263157894736842,0.037037037037037035,0.05128205128205128,0.025974025974025976,0.02631578947368421,0.05,0.06578947368421052,0.0,0.06578947368421052,0.041666666666666664,0.05128205128205128,0.05333333333333334,0.05128205128205128,0.012658227848101266,0.027777777777777776,0.02702702702702703,0.05063291139240506
6,0.10810810810810811,0.07142857142857142,0.05263157894736842,0.07692307692307693,0.03896103896103896,0.06097560975609756,0.05555555555555555,0.05405405405405406,0.05128205128205128,0.06493506493506493,0.014705882352941176,0.07042253521126761,0.05128205128205128,0.056338028169014086,0.07246376811594203,0.05555555555555555,0.057971014492753624,0.1232876712328767,0.0547945205479452,0.06756756756756757,0.07692307692307693,0.07894736842105263,0.0547945205479452,0.05714285714285714,0.0273972602739726,0.0821917808219178,0.07462686567164178,0.02631578947368421,0.08108108108108109,0.10526315789473684,0.0,0.04054054054054054,0.0410958904109589,0.05405405405405406,0.04285714285714286,0.029411764705882353,0.06944444444444445,0.056338028169014086,0.05333333333333334,0.0379746835443038,0.05263157894736842,0.09333333333333334,0.02702702702702703,0.07142857142857142,0.04054054054054054,0.041666666666666664,0.04225352112676056,0.09523809523809523,0.05333333333333334,0.09836065573770492,0.0547945205479452,0.05194805194805195,0.08974358974358974,0.02702702702702703,0.05405405405405406,0.12857142857142856,0.04477611940298507,0.05333333333333334,0.06666666666666667,0.07142857142857142,0.07936507936507936,0.08333333333333333,0.05714285714285714,0.06493506493506493,0.07352941176470588,0.029411764705882353,0.09859154929577464,0.12162162162162163,0.05194805194805195,0.08108108108108109,0.06493506493506493,0.04285714285714286,0.013888888888888888,0.06666666666666667,0.1282051282051282,0.06756756756756757,0.10666666666666667,0.04225352112676056,0.0821917808219178,0.06097560975609756,0.08,0.08333333333333333,0.1111111111111111,0.08108108108108109,0.1038961038961039,0.0945945945945946,0.02666666666666667,0.08,0.08974358974358974,0.08333333333333333,0.013333333333333334,0.08333333333333333,0.041666666666666664,0.0547945205479452,0.05555555555555555,0.0945945945945946,0.038461538461538464,0.04285714285714286,0.0410958904109589,0.10526315789473684
7,0.1388888888888889,0.08695652173913043,0.07142857142857142,0.11842105263157894,0.09090909090909091,0.075,0.07042253521126761,0.08571428571428572,0.0821917808219178,0.12162162162162163,0.014705882352941176,0.11428571428571428,0.06578947368421052,0.08450704225352113,0.12307692307692308,0.05714285714285714,0.10144927536231885,0.15714285714285714,0.08571428571428572,0.12857142857142856,0.07936507936507936,0.09210526315789473,0.06944444444444445,0.07142857142857142,0.02857142857142857,0.10144927536231885,0.07936507936507936,0.07894736842105263,0.1,0.13513513513513514,0.0,0.1,0.07142857142857142,0.09859154929577464,0.046875,0.04477611940298507,0.08695652173913043,0.10294117647058823,0.06944444444444445,0.07692307692307693,0.05263157894736842,0.1643835616438356,0.0410958904109589,0.09090909090909091,0.08695652173913043,0.09859154929577464,0.08450704225352113,0.12698412698412698,0.0958904109589041,0.11666666666666667,0.06944444444444445,0.0821917808219178,0.12,0.06756756756756757,0.06944444444444445,0.14492753623188406,0.09090909090909091,0.08333333333333333,0.1,0.1044776119402985,0.08064516129032258,0.10294117647058823,0.07246376811594203,0.06666666666666667,0.10606060606060606,0.029850746268656716,0.11594202898550725,0.14285714285714285,0.0684931506849315,0.08333333333333333,0.08108108108108109,0.10606060606060606,0.07142857142857142,0.0684931506849315,0.1794871794871795,0.09859154929577464,0.16216216216216217,0.07142857142857142,0.09722222222222222,0.11842105263157894,0.09722222222222222,0.08333333333333333,0.14285714285714285,0.0945945945945946,0.10526315789473684,0.0958904109589041,0.0410958904109589,0.11267605633802817,0.136986301369863,0.08695652173913043,0.014084507042253521,0.1,0.09859154929577464,0.0684931506849315,0.07246376811594203,0.12162162162162163,0.05405405405405406,0.07142857142857142,0.056338028169014086,0.12
8,0.17142857142857143,0.10294117647058823,0.10606060606060606,0.136986301369863,0.10810810810810811,0.10126582278481013,0.08571428571428572,0.13043478260869565,0.14084507042253522,0.14084507042253522,0.05970149253731343,0.1323529411764706,0.13513513513513514,0.1323529411764706,0.1875,0.08695652173913043,0.13432835820895522,0.16176470588235295,0.15942028985507245,0.16417910447761194,0.09523809523809523,0.13513513513513514,0.12857142857142856,0.13043478260869565,0.05714285714285714,0.10294117647058823,0.1016949152542373,0.0945945945945946,0.1076923076923077,0.14084507042253522,0.04918032786885246,0.14925373134328357,0.1323529411764706,0.13043478260869565,0.109375,0.04838709677419355,0.12307692307692308,0.13432835820895522,0.08571428571428572,0.09210526315789473,0.0821917808219178,0.2222222222222222,0.07246376811594203,0.09230769230769231,0.12121212121212122,0.14492753623188406,0.10144927536231885,0.14285714285714285,0.11267605633802817,0.13793103448275862,0.11267605633802817,0.1388888888888889,0.18666666666666668,0.1095890410958904,0.11594202898550725,0.17647058823529413,0.16666666666666666,0.11594202898550725,0.17647058823529413,0.13846153846153847,0.1016949152542373,0.1044776119402985,0.078125,0.0945945945945946,0.15151515151515152,0.06349206349206349,0.13432835820895522,0.16176470588235295,0.11594202898550725,0.08695652173913043,0.1111111111111111,0.13114754098360656,0.08823529411764706,0.11428571428571428,0.18421052631578946,0.14084507042253522,0.21621621621621623,0.08823529411764706,0.11594202898550725,0.1506849315068493,0.1044776119402985,0.12857142857142856,0.18840579710144928,0.1095890410958904,0.10810810810810811,0.11267605633802817,0.08333333333333333,0.17391304347826086,0.16901408450704225,0.11594202898550725,0.057971014492753624,0.10294117647058823,0.12857142857142856,0.11428571428571428,0.07692307692307693,0.136986301369863,0.1,0.08695652173913043,0.08955223880597014,0.14492753623188406
9,0.2028985507246377,0.1044776119402985,0.15625,0.15714285714285714,0.1388888888888889,0.14102564102564102,0.13636363636363635,0.208955223880597,0.21428571428571427,0.15942028985507245,0.09090909090909091,0.16176470588235295,0.16901408450704225,0.15151515151515152,0.2222222222222222,0.08695652173913043,0.18181818181818182,0.208955223880597,0.18840579710144928,0.21212121212121213,0.1111111111111111,0.22857142857142856,0.19117647058823528,0.18840579710144928,0.07462686567164178,0.16417910447761194,0.11864406779661017,0.10810810810810811,0.1774193548387097,0.18571428571428572,0.05084745762711865,0.16923076923076924,0.16666666666666666,0.14705882352941177,0.12903225806451613,0.06557377049180328,0.13114754098360656,0.21212121212121213,0.10144927536231885,0.13333333333333333,0.11267605633802817,0.24285714285714285,0.08823529411764706,0.12307692307692308,0.125,0.17391304347826086,0.11594202898550725,0.18032786885245902,0.11428571428571428,0.18518518518518517,0.14084507042253522,0.1527777777777778,0.25333333333333335,0.125,0.16417910447761194,0.2153846153846154,0.16923076923076924,0.14492753623188406,0.24242424242424243,0.16923076923076924,0.10526315789473684,0.13432835820895522,0.16129032258064516,0.10810810810810811,0.2,0.11666666666666667,0.21212121212121213,0.22058823529411764,0.16417910447761194,0.14492753623188406,0.1527777777777778,0.13333333333333333,0.1875,0.14705882352941177,0.20270270270270271,0.2,0.2777777777777778,0.1044776119402985,0.11594202898550725,0.16666666666666666,0.15151515151515152,0.14705882352941177,0.2537313432835821,0.1388888888888889,0.10810810810810811,0.15942028985507245,0.1,0.2463768115942029,0.18571428571428572,0.1323529411764706,0.11940298507462686,0.13636363636363635,0.17647058823529413,0.1323529411764706,0.11475409836065574,0.19444444444444445,0.17142857142857143,0.08823529411764706,0.15151515151515152,0.16176470588235295
