# Arguments: kr_a=0.0625, kd_a=0.25, rep=100, it=100, relocation=0.0625, division=0.5, rows=20, cols=5, status=None, file_ID=20, delta_t=None
Timepoint,Rep_0,Rep_1,Rep_2,Rep_3,Rep_4,Rep_5,Rep_6,Rep_7,Rep_8,Rep_9,Rep_10,Rep_11,Rep_12,Rep_13,Rep_14,Rep_15,Rep_16,Rep_17,Rep_18,Rep_19,Rep_20,Rep_21,Rep_22,Rep_23,Rep_24,Rep_25,Rep_26,Rep_27,Rep_28,Rep_29,Rep_30,Rep_31,Rep_32,Rep_33,Rep_34,Rep_35,Rep_36,Rep_37,Rep_38,Rep_39,Rep_40,Rep_41,Rep_42,Rep_43,Rep_44,Rep_45,Rep_46,Rep_47,Rep_48,Rep_49,Rep_50,Rep_51,Rep_52,Rep_53,Rep_54,Rep_55,Rep_56,Rep_57,Rep_58,Rep_59,Rep_60,Rep_61,Rep_62,Rep_63,Rep_64,Rep_65,Rep_66,Rep_67,Rep_68,Rep_69,Rep_70,Rep_71,Rep_72,Rep_73,Rep_74,Rep_75,Rep_76,Rep_77,Rep_78,Rep_79,Rep_80,Rep_81,Rep_82,Rep_83,Rep_84,Rep_85,Rep_86,Rep_87,Rep_88,Rep_89,Rep_90,Rep_91,Rep_92,Rep_93,Rep_94,Rep_95,Rep_96,Rep_97,Rep_98,Rep_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.012195121951219513,0.011363636363636364,0.025,0.0,0.012195121951219513,0.0,0.0,0.010869565217391304,0.011363636363636364,0.011235955056179775,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.011235955056179775,0.0,0.013333333333333334,0.011235955056179775,0.0,0.0,0.0,0.02197802197802198,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.0125,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.021505376344086023,0.011363636363636364,0.0,0.0,0.0,0.0,0.011627906976744186,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.0,0.02197802197802198,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.0,0.011235955056179775,0.011494252873563218,0.0,0.0,0.011627906976744186,0.0,0.0,0.0
3,0.0125,0.023529411764705882,0.039473684210526314,0.011627906976744186,0.012658227848101266,0.0,0.023809523809523808,0.011494252873563218,0.012048192771084338,0.023529411764705882,0.0,0.012987012987012988,0.0,0.011363636363636364,0.011363636363636364,0.0,0.0,0.024691358024691357,0.0,0.012048192771084338,0.0,0.01282051282051282,0.0,0.011764705882352941,0.023255813953488372,0.01282051282051282,0.0,0.0,0.0,0.0125,0.0,0.0,0.024390243902439025,0.011363636363636364,0.011904761904761904,0.0,0.014285714285714285,0.011363636363636364,0.0,0.012658227848101266,0.011235955056179775,0.046511627906976744,0.012345679012345678,0.0,0.011904761904761904,0.011494252873563218,0.011904761904761904,0.012658227848101266,0.011627906976744186,0.013157894736842105,0.024691358024691357,0.01282051282051282,0.0125,0.025,0.011904761904761904,0.012195121951219513,0.0,0.013513513513513514,0.0,0.012987012987012988,0.02247191011235955,0.011764705882352941,0.0,0.0,0.011904761904761904,0.013157894736842105,0.03614457831325301,0.012195121951219513,0.0,0.011363636363636364,0.0,0.012195121951219513,0.011764705882352941,0.0,0.013513513513513514,0.01282051282051282,0.0,0.024390243902439025,0.022727272727272728,0.011764705882352941,0.0,0.047619047619047616,0.0,0.022988505747126436,0.0,0.0,0.0,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.0,0.011494252873563218,0.011764705882352941,0.012195121951219513,0.025,0.025974025974025976,0.037037037037037035,0.011627906976744186,0.012987012987012988,0.0
4,0.06578947368421052,0.05063291139240506,0.05405405405405406,0.047619047619047616,0.0547945205479452,0.0379746835443038,0.0625,0.011764705882352941,0.025974025974025976,0.037037037037037035,0.025,0.013888888888888888,0.0,0.036585365853658534,0.023809523809523808,0.0,0.014084507042253521,0.038461538461538464,0.03614457831325301,0.012987012987012988,0.0,0.012987012987012988,0.0,0.0125,0.05063291139240506,0.012987012987012988,0.0,0.0,0.03571428571428571,0.02531645569620253,0.0,0.039473684210526314,0.02631578947368421,0.024096385542168676,0.024691358024691357,0.0,0.015384615384615385,0.04819277108433735,0.011494252873563218,0.013157894736842105,0.022988505747126436,0.06976744186046512,0.02666666666666667,0.012195121951219513,0.0379746835443038,0.023529411764705882,0.0375,0.039473684210526314,0.012048192771084338,0.04054054054054054,0.06329113924050633,0.0136986301369863,0.013333333333333334,0.02564102564102564,0.012195121951219513,0.02631578947368421,0.013513513513513514,0.04285714285714286,0.025,0.02631578947368421,0.034482758620689655,0.0125,0.0,0.0,0.0625,0.013888888888888888,0.06329113924050633,0.0379746835443038,0.0125,0.047619047619047616,0.0,0.02531645569620253,0.0125,0.0375,0.014285714285714285,0.013513513513513514,0.0,0.037037037037037035,0.03614457831325301,0.02564102564102564,0.02531645569620253,0.06172839506172839,0.012345679012345678,0.024691358024691357,0.011627906976744186,0.0136986301369863,0.04054054054054054,0.06097560975609756,0.03529411764705882,0.06097560975609756,0.014492753623188406,0.024691358024691357,0.023529411764705882,0.012658227848101266,0.02666666666666667,0.04054054054054054,0.0379746835443038,0.024096385542168676,0.027777777777777776,0.012987012987012988
5,0.08450704225352113,0.08333333333333333,0.07042253521126761,0.075,0.07142857142857142,0.04,0.06578947368421052,0.012195121951219513,0.06944444444444445,0.05263157894736842,0.06578947368421052,0.014925373134328358,0.02564102564102564,0.0379746835443038,0.0375,0.014705882352941176,0.014925373134328358,0.04054054054054054,0.04938271604938271,0.06666666666666667,0.0125,0.012987012987012988,0.029411764705882353,0.02531645569620253,0.06666666666666667,0.0273972602739726,0.0,0.0,0.036585365853658534,0.025974025974025976,0.0,0.05333333333333334,0.0547945205479452,0.04878048780487805,0.06493506493506493,0.0,0.016129032258064516,0.07792207792207792,0.0125,0.013888888888888888,0.024096385542168676,0.10975609756097561,0.0410958904109589,0.02531645569620253,0.06578947368421052,0.07692307692307693,0.06578947368421052,0.07246376811594203,0.024390243902439025,0.057971014492753624,0.07792207792207792,0.043478260869565216,0.013513513513513514,0.07894736842105263,0.02531645569620253,0.0547945205479452,0.014705882352941176,0.058823529411764705,0.05194805194805195,0.05405405405405406,0.058823529411764705,0.06756756756756757,0.0273972602739726,0.0,0.1038961038961039,0.043478260869565216,0.06493506493506493,0.04054054054054054,0.02564102564102564,0.075,0.013333333333333334,0.05194805194805195,0.02631578947368421,0.06666666666666667,0.030303030303030304,0.027777777777777776,0.028169014084507043,0.038461538461538464,0.05128205128205128,0.06578947368421052,0.039473684210526314,0.07692307692307693,0.02531645569620253,0.0759493670886076,0.01282051282051282,0.014925373134328358,0.04285714285714286,0.10666666666666667,0.07228915662650602,0.08641975308641975,0.030303030303030304,0.02531645569620253,0.060240963855421686,0.02666666666666667,0.0684931506849315,0.05555555555555555,0.05333333333333334,0.024390243902439025,0.04411764705882353,0.02666666666666667
6,0.10294117647058823,0.12857142857142856,0.08571428571428572,0.09210526315789473,0.12307692307692308,0.07246376811594203,0.06666666666666667,0.012658227848101266,0.1323529411764706,0.05333333333333334,0.09333333333333334,0.030303030303030304,0.02666666666666667,0.03896103896103896,0.0379746835443038,0.046875,0.03076923076923077,0.07142857142857142,0.08860759493670886,0.13513513513513514,0.0379746835443038,0.05333333333333334,0.06060606060606061,0.0547945205479452,0.1095890410958904,0.05714285714285714,0.0,0.013157894736842105,0.05128205128205128,0.04,0.0273972602739726,0.08108108108108109,0.08695652173913043,0.06329113924050633,0.09210526315789473,0.012987012987012988,0.03333333333333333,0.09333333333333334,0.06493506493506493,0.028985507246376812,0.0379746835443038,0.12345679012345678,0.05555555555555555,0.06493506493506493,0.0945945945945946,0.10666666666666667,0.08108108108108109,0.07462686567164178,0.02531645569620253,0.057971014492753624,0.08,0.07246376811594203,0.04285714285714286,0.08450704225352113,0.038461538461538464,0.05714285714285714,0.03225806451612903,0.09230769230769231,0.07894736842105263,0.11267605633802817,0.058823529411764705,0.06944444444444445,0.057971014492753624,0.02666666666666667,0.13157894736842105,0.05970149253731343,0.06578947368421052,0.08450704225352113,0.039473684210526314,0.07792207792207792,0.0136986301369863,0.05405405405405406,0.0273972602739726,0.1,0.046875,0.030303030303030304,0.04225352112676056,0.05333333333333334,0.05194805194805195,0.08,0.06666666666666667,0.13513513513513514,0.03896103896103896,0.08,0.02666666666666667,0.04918032786885246,0.04477611940298507,0.14864864864864866,0.09876543209876543,0.10256410256410256,0.03225806451612903,0.03896103896103896,0.11392405063291139,0.0410958904109589,0.08571428571428572,0.11764705882352941,0.11428571428571428,0.0875,0.09090909090909091,0.0273972602739726
7,0.12121212121212122,0.14705882352941177,0.13043478260869565,0.1095890410958904,0.2,0.09090909090909091,0.1111111111111111,0.02564102564102564,0.14705882352941177,0.08108108108108109,0.1095890410958904,0.0625,0.05405405405405406,0.05405405405405406,0.08,0.13333333333333333,0.0625,0.1076923076923077,0.11842105263157894,0.15492957746478872,0.11688311688311688,0.08108108108108109,0.078125,0.07352941176470588,0.15492957746478872,0.11764705882352941,0.041666666666666664,0.02702702702702703,0.06578947368421052,0.0684931506849315,0.041666666666666664,0.1111111111111111,0.10606060606060606,0.12,0.14666666666666667,0.0821917808219178,0.05172413793103448,0.125,0.09210526315789473,0.029411764705882353,0.0641025641025641,0.1518987341772152,0.07042253521126761,0.06666666666666667,0.1388888888888889,0.136986301369863,0.0945945945945946,0.09375,0.03896103896103896,0.07692307692307693,0.08333333333333333,0.08955223880597014,0.11594202898550725,0.11764705882352941,0.03896103896103896,0.07246376811594203,0.03278688524590164,0.12307692307692308,0.12162162162162163,0.12857142857142856,0.10714285714285714,0.07042253521126761,0.07246376811594203,0.0410958904109589,0.15789473684210525,0.09230769230769231,0.10810810810810811,0.08695652173913043,0.0821917808219178,0.09210526315789473,0.028169014084507043,0.0684931506849315,0.07142857142857142,0.11594202898550725,0.04838709677419355,0.046875,0.05970149253731343,0.0945945945945946,0.10666666666666667,0.1232876712328767,0.0684931506849315,0.13513513513513514,0.07792207792207792,0.09859154929577464,0.02702702702702703,0.05084745762711865,0.09375,0.1506849315068493,0.1,0.12,0.06666666666666667,0.05263157894736842,0.15384615384615385,0.11267605633802817,0.10144927536231885,0.125,0.14492753623188406,0.10256410256410256,0.1076923076923077,0.04225352112676056
8,0.15625,0.18181818181818182,0.17647058823529413,0.1232876712328767,0.234375,0.109375,0.1111111111111111,0.04,0.15873015873015872,0.136986301369863,0.17647058823529413,0.12903225806451613,0.08450704225352113,0.0958904109589041,0.0945945945945946,0.1864406779661017,0.06349206349206349,0.14285714285714285,0.16,0.19718309859154928,0.1917808219178082,0.09722222222222222,0.08064516129032258,0.08955223880597014,0.23529411764705882,0.13636363636363635,0.07575757575757576,0.056338028169014086,0.09859154929577464,0.09859154929577464,0.08955223880597014,0.14492753623188406,0.13846153846153847,0.12162162162162163,0.1643835616438356,0.11428571428571428,0.05454545454545454,0.17391304347826086,0.1095890410958904,0.030303030303030304,0.09090909090909091,0.15584415584415584,0.17142857142857143,0.09333333333333334,0.17391304347826086,0.2028985507246377,0.1506849315068493,0.16129032258064516,0.0945945945945946,0.12307692307692308,0.08695652173913043,0.15384615384615385,0.16176470588235295,0.12698412698412698,0.05405405405405406,0.10144927536231885,0.06666666666666667,0.13846153846153847,0.1388888888888889,0.14492753623188406,0.14634146341463414,0.11764705882352941,0.10294117647058823,0.057971014492753624,0.20270270270270271,0.12903225806451613,0.20833333333333334,0.08695652173913043,0.0958904109589041,0.10666666666666667,0.07575757575757576,0.09859154929577464,0.07352941176470588,0.16176470588235295,0.08333333333333333,0.08064516129032258,0.09523809523809523,0.0958904109589041,0.12162162162162163,0.136986301369863,0.0821917808219178,0.20270270270270271,0.09210526315789473,0.1044776119402985,0.04225352112676056,0.05263157894736842,0.11290322580645161,0.1527777777777778,0.16666666666666666,0.16666666666666666,0.1,0.13513513513513514,0.15789473684210525,0.14705882352941177,0.11940298507462686,0.14285714285714285,0.17647058823529413,0.11688311688311688,0.13846153846153847,0.05714285714285714
9,0.19047619047619047,0.18181818181818182,0.23880597014925373,0.1388888888888889,0.24193548387096775,0.16129032258064516,0.125,0.11267605633802817,0.19672131147540983,0.20833333333333334,0.208955223880597,0.15,0.13043478260869565,0.11267605633802817,0.1095890410958904,0.21052631578947367,0.09523809523809523,0.16129032258064516,0.2191780821917808,0.3382352941176471,0.2535211267605634,0.09859154929577464,0.09836065573770492,0.1076923076923077,0.26865671641791045,0.2,0.09230769230769231,0.1,0.12857142857142856,0.13432835820895522,0.16417910447761194,0.21739130434782608,0.15384615384615385,0.136986301369863,0.22535211267605634,0.16417910447761194,0.14545454545454545,0.21739130434782608,0.1527777777777778,0.045454545454545456,0.10810810810810811,0.18181818181818182,0.2608695652173913,0.1095890410958904,0.208955223880597,0.25,0.1780821917808219,0.16666666666666666,0.17391304347826086,0.16923076923076924,0.08823529411764706,0.1746031746031746,0.2,0.16129032258064516,0.0821917808219178,0.11940298507462686,0.11864406779661017,0.15625,0.17142857142857143,0.17647058823529413,0.1728395061728395,0.16417910447761194,0.16417910447761194,0.10144927536231885,0.23943661971830985,0.16666666666666666,0.21428571428571427,0.11594202898550725,0.18571428571428572,0.1506849315068493,0.12121212121212122,0.15714285714285714,0.12307692307692308,0.20588235294117646,0.16666666666666666,0.08196721311475409,0.13114754098360656,0.1111111111111111,0.15942028985507245,0.15714285714285714,0.09859154929577464,0.2054794520547945,0.11842105263157894,0.10606060606060606,0.08695652173913043,0.14285714285714285,0.13333333333333333,0.15714285714285714,0.18181818181818182,0.2028985507246377,0.15517241379310345,0.1917808219178082,0.16216216216216217,0.17647058823529413,0.16923076923076924,0.1935483870967742,0.19402985074626866,0.17105263157894737,0.1875,0.07246376811594203
